datetime,open,high,low,close
2023-06-26 13:30:00,362.07,362.75,361.79,362.72
2023-06-26 13:35:00,362.75,363.18,362.57,363.02
2023-06-26 13:40:00,363.04,363.37,362.79,363.2
2023-06-26 13:45:00,363.22,363.72,363.22,363.35
2023-06-26 13:50:00,363.36,364.34,363.19,364.19
2023-06-26 13:55:00,364.2,364.555,364.12,364.48
2023-06-26 14:00:00,364.49,364.76,364.21,364.37
2023-06-26 14:05:00,364.38,364.82,364.35,364.539
2023-06-26 14:10:00,364.53,364.59,364.04,364.52
2023-06-26 14:15:00,364.55,364.84,364.26,364.26
2023-06-26 14:20:00,364.26,364.34,363.91,364.11
2023-06-26 14:25:00,364.13,364.38,363.81,364.195
2023-06-26 14:30:00,364.17,364.25,362.96,363.36
2023-06-26 14:35:00,363.32,363.4,362.65,362.67
2023-06-26 14:40:00,362.66,362.66,361.91,362.52
2023-06-26 14:45:00,362.5,363.31,362.46,363.3
2023-06-26 14:50:00,363.295,363.625,363.08,363.321
2023-06-26 14:55:00,363.27,363.39,362.795,363.15
2023-06-26 15:00:00,363.15,363.185,362.21,362.21
2023-06-26 15:05:00,362.21,362.21,361.59,361.9
2023-06-26 15:10:00,361.88,362.07,361.53,361.76
2023-06-26 15:15:00,361.76,361.99,360.93,360.96
2023-06-26 15:20:00,360.91,361.26,360.78,360.99
2023-06-26 15:25:00,360.94,361.57,360.94,361.15
2023-06-26 15:30:00,361.12,361.8,360.89,361.63
2023-06-26 15:35:00,361.63,361.88,361.44,361.525
2023-06-26 15:40:00,361.52,361.65,360.675,360.83
2023-06-26 15:45:00,360.84,361.41,360.8,361.28
2023-06-26 15:50:00,361.295,361.55,361.15,361.5
2023-06-26 15:55:00,361.5,361.56,361.06,361.53
2023-06-26 16:00:00,361.5,361.53,360.74,360.79
2023-06-26 16:05:00,360.82,360.82,359.49,359.54
2023-06-26 16:10:00,359.52,359.61,359.13,359.55
2023-06-26 16:15:00,359.52,359.91,359.33,359.4
2023-06-26 16:20:00,359.41,359.78,359.06,359.56
2023-06-26 16:25:00,359.53,359.58,359.09,359.15
2023-06-26 16:30:00,359.15,359.28,358.88,359.08
2023-06-26 16:35:00,359.08,359.355,358.72,358.91
2023-06-26 16:40:00,358.9,359.0,358.27,358.44
2023-06-26 16:45:00,358.44,358.86,358.25,358.45
2023-06-26 16:50:00,358.43,358.75,358.38,358.74
